Feature ID	Taxon	Confidence
8fee93096be4d947f58c90fd85a6dabc	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__	0.999441711
1f47241102f98ceda258eccc796e43bc	d__Bacteria;p__Myxococcota;c__Polyangia;o__mle1-27;f__mle1-27;g__mle1-27;s__	0.992373574
8334c8486463b530eb16478bc03f2fb0	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Peptoniphilus;s__	0.998313033
d76fc1619a603d78864fba02c7026540	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Simkaniaceae;g__uncultured;s__	0.921090647
0ed2b267b3da048b72d82b703002a028	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Gordonia;s__	0.999377039
b76a60c8a4e7635ac254deb98e91c1f9	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Gordonia;s__	0.999512281
8bfc0efb3bf8b60d0ed877a314826ecb	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae	0.968258234
12f871d18b0b21cb4d4db2080ee54f8d	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae	0.999407487
e592846f5f3e45087f765013bbc527d9	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Gordonia;s__	0.998005926
611d55c3f9611911772121125a20cd81	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__	0.987838047
4f4dfe6082d7b5305f6c7253074ddb61	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__	0.945393325
6f8e3c28ce8acee8a6e8902dcd509273	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae	0.998757117
d36dab2c145dd1bbffa70a803eaf36e7	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__	0.954420401
3d7066c7a8478eab86751984217c8263	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__	0.993142242
7b14606cff160a0e5b9766980cad5a8a	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.994627233
591d15f139a3a55ec77f62c5c4dee038	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.991511927
f0b7d64418728690bf7fbed4de28f377	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales	0.996932039
0f4bb14b58ffe1ad323aa1b2d9e59e69	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__	0.99595914
2dadcceb659676f841ae16bfe899c7af	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__	0.995329302
eebaa43acaf45224d1d341c1bcb5912d	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Simkaniaceae;g__uncultured;s__	0.990139752
e9550e5a6502bda476f17e4d9a261a9f	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Simkaniaceae;g__uncultured;s__	0.700664317
